Date,Close,High,Low,Open,Volume
2018-01-02,236.56216430664062,236.5973784613616,235.35634139761444,235.74361651795525,86655700
2018-01-03,238.05848693847656,238.20812696947078,236.72942775097104,236.72942775097104,90070400
2018-01-04,239.06178283691406,239.54589006788385,238.1200259914926,238.7009385523417,80636400
2018-01-05,240.6549530029297,240.77816225162655,239.36110815870046,239.8539988745469,83524000
2018-01-08,241.09503173828125,241.25345513837206,240.2676737237684,240.55811662393486,57319200
2018-01-09,241.64071655273438,242.26562672470052,241.23582096140757,241.51748045262772,57254000
2018-01-10,241.2711181640625,241.53518410067684,240.21493499921533,240.88384294545753,69574300
2018-01-11,243.03143310546875,243.03143310546872,241.65837628593212,241.8256099757955,62361500
2018-01-12,244.6156768798828,244.78288366057578,242.99614826380247,243.29542825584758,90816100
2018-01-16,243.77955627441406,246.5256696509318,243.08421767570212,245.87435546460017,106555100
2018-01-17,246.10316467285156,246.4904398023778,243.77954075622463,244.71251442448408,113258800
2018-01-18,245.68948364257812,246.4111991532553,245.19656610428356,245.98873677832768,100728000
2018-01-19,246.80731201171875,246.80731201171878,245.68951103937377,246.27039686967373,140920100
2018-01-22,248.81411743164062,248.8141174316406,246.54327421248192,246.59610888178338,91322400
2018-01-23,249.34214782714844,249.63259068853083,248.53238356726726,248.85804057747723,97084700
2018-01-24,249.24534606933594,250.5832152829012,248.06592711458097,249.98468212184525,134816100
2018-01-25,249.3509979248047,250.20475995372283,248.55885395768738,250.10795459420666,84587300
2018-01-26,252.23785400390625,252.28187840164645,249.9318243548559,250.18707990807454,107743100
2018-01-29,250.5655975341797,252.10588770899435,250.40717413415427,251.66580480190444,90118300
2018-01-30,247.99557495117188,250.6184523790427,247.52027780134623,248.73491115060395,131796400
2018-01-31,248.11866760253906,249.35089402243372,247.04486453794772,248.8492200639733,108364800
2018-02-01,247.83709716796875,249.139752342768,247.04495324648897,247.38823083343112,90102500
2018-02-02,242.44168090820312,246.64887236739563,242.40646675517465,246.51682600867105,173174800
2018-02-05,232.3022003173828,242.7937906023756,231.75650170826106,240.68139762555128,294681800
2018-02-06,236.87904357910156,237.38074456875086,227.69892005236255,228.79031712974927,355026800
2018-02-07,235.59402465820312,239.7219781294161,235.51478608778726,236.32455055637257,167376100
2018-02-08,226.7571563720703,236.03411293957473,226.72194221337324,235.89328316531945,246449500
2018-02-09,230.16339111328125,232.02052833590065,222.6115658085252,229.54726421694855,283565300
2018-02-12,233.54318237304688,235.0130710287403,230.30417878341456,232.21412346392802,143736000
2018-02-13,234.1240692138672,234.66976763389977,231.75642140267445,232.3373339706034,81223600
2018-02-14,237.28387451171875,237.64474568212884,232.62779030685115,232.63660055946704,120735700
2018-02-15,240.31167602539062,240.3204862790797,236.56216098587512,239.0266414316785,111200300
2018-02-16,240.38206481933594,242.32725054515024,239.64272878267326,239.68675318827144,160420100
2018-02-20,238.876953125,240.87494635032803,238.08480940849984,239.43146178470735,86369700
2018-02-21,237.68873596191406,241.7991215895347,237.59193062820205,239.3170478750535,98883700
2018-02-22,237.99688720703125,240.32932179548155,237.32797929482788,238.6130141672417,110511300
2018-02-23,241.790283203125,241.790283203125,238.74491776383942,239.22021470632475,92766400
2018-02-26,244.5980987548828,244.69493097156393,242.274474741448,242.86417085379668,86491400
2018-02-27,241.54391479492188,245.4958778415357,241.4822967371023,244.7829187706097,99099200
2018-02-28,239.0970458984375,243.09300634693332,238.78019908798586,242.64411317159698,121907800
2018-03-01,235.6204071044922,240.434915343989,234.12411442597886,238.88581486369563,176855100
2018-03-02,236.8350067138672,237.39832573097647,233.08551859078392,233.94806390250494,139083200
2018-03-05,239.57229614257812,240.1884228564989,235.54112232743287,235.64676477079544,97307400
2018-03-06,240.1796417236328,240.62853486564214,238.68334915728698,240.54929630838222,79213200
2018-03-07,240.09158325195312,240.44364413738393,237.82076770947924,238.01440522554475,87063500
2018-03-08,241.25344848632812,241.37665772949185,239.77477640519388,240.76934118536022,66901200
2018-03-09,245.4518280029297,245.4518280029297,242.3448438583557,242.66171750822073,113625300
2018-03-12,245.143798828125,246.3672423323109,244.75652368007562,245.7423320590852,71924800
2018-03-13,243.5595245361328,246.80733906418087,242.95220787735744,246.30563802249105,91968900
2018-03-14,242.3096923828125,244.70374501010537,241.75521035804832,244.5189176685173,105895100
2018-03-15,242.04556274414062,243.46261660024524,241.54386185847224,242.82011284260588,83433000
2018-03-16,242.30812072753906,243.35971533877714,242.25510141672984,242.57321728158507,100343700
2018-03-19,239.02957153320312,242.4848066021143,237.3770736672259,241.5569418332519,109208400
2018-03-20,239.43612670898438,240.07238541259784,238.75566726721883,239.42728116773122,59757300
