Date,Close,High,Low,Open,Volume
2018-01-02,150.22213745117188,150.26004442775297,148.0231567768886,148.3928112654183,32573300
2018-01-03,151.6818389892578,151.81453514023718,150.33591675423952,150.36435061067826,29383600
2018-01-04,151.9471893310547,152.40214537123438,151.72919167095904,152.20310843112716,24776100
2018-01-05,153.4732208251953,153.57748310381623,152.383217927353,152.6675709111186,26992300
2018-01-08,154.0703887939453,154.14621723432313,153.41638115063336,153.47324886521767,23159100
2018-01-09,154.07986450195312,154.53482068903153,153.61543518321764,154.37369067408287,24782400
2018-01-10,153.71963500976562,153.74808332144462,152.71493378164303,153.39737508051724,34004000
2018-01-11,154.77171325683594,154.7812008472504,153.74806588739162,153.98502424310917,20473500
2018-01-12,155.9091339111328,156.07026386676313,154.43998912853863,154.63902605963855,37762700
2018-01-16,155.4636688232422,157.73846364449494,154.99922515950294,156.94228690333574,41231800
2018-01-17,157.1413116455078,157.37827002359023,155.444696022066,156.20296572448808,33849900
2018-01-18,157.1697998046875,157.5299667959894,156.52526533223966,156.8949199172569,26432200
2018-01-19,157.6626434326172,157.91856256374317,156.90437363178057,157.63420958058026,38937600
2018-01-22,159.3497772216797,159.3497772216797,157.42567620671264,157.6057669013891,26081400
2018-01-23,160.66726684570312,160.8094505620659,159.76682782657687,159.8426562494118,37989700
2018-01-24,159.62466430664062,161.35920157646174,158.70526453308307,161.0084933004039,54287400
2018-01-25,159.56776428222656,160.78098991983535,159.05592612907853,160.72412222788344,28925000
2018-01-26,162.01316833496094,162.0321290539717,160.14594970194736,160.45872202027394,32038200
2018-01-29,161.22647094726562,161.9942137054199,160.8852503366648,161.67195381284975,37277800
2018-01-30,159.8995361328125,160.5819775275258,159.0654523436693,159.75736686841137,44987700
2018-01-31,160.56298828125,161.12222103506798,159.55828709051298,160.79994665501974,42449200
2018-02-01,159.19810485839844,160.87575956983684,158.68626672120809,159.33080095641262,38037900
2018-02-02,156.02288818359375,158.9516905122908,155.89019205920337,158.57256286054488,68478100
2018-02-05,149.8714599609375,157.10343571737928,149.75772454507344,154.5632483444523,105372200
