Date,Close,High,Low,Open,Volume,"('Close', 'QQQ')","('High', 'QQQ')","('Low', 'QQQ')","('Open', 'QQQ')","('Volume', 'QQQ')","('Close', 'QQQ').1","('High', 'QQQ').1","('Low', 'QQQ').1","('Open', 'QQQ').1","('Volume', 'QQQ').1","('Close', 'QQQ')","('High', 'QQQ')","('Low', 'QQQ')","('Open', 'QQQ')","('Volume', 'QQQ')"
2018-01-02,150.22215270996094,150.2600596903924,148.02317181231658,148.39282633839383,32573300.0,,,,,,,,,,,,,,,
2018-01-03,151.6817626953125,151.8144587795475,150.3358411372752,150.36427497941207,29383600.0,,,,,,,,,,,,,,,
2018-01-04,151.9471893310547,152.40214537123438,151.72919167095904,152.20310843112716,24776100.0,,,,,,,,,,,,,,,
2018-01-05,153.47320556640625,153.5774678346611,152.38320277693543,152.66755573242978,26992300.0,,,,,,,,,,,,,,,
2018-01-08,154.07034301757812,154.14617143542628,153.41633556858056,153.4732032662687,23159100.0,,,,,,,,,,,,,,,
2018-01-09,154.07981872558594,154.5347747774991,153.61538954483012,154.37364481042138,24782400.0,,,,,,,,,,,,,,,
2018-01-10,153.71963500976562,153.74808332144462,152.71493378164303,153.39737508051724,34004000.0,,,,,,,,,,,,,,,
2018-01-11,154.77171325683594,154.7812008472504,153.74806588739162,153.98502424310917,20473500.0,,,,,,,,,,,,,,,
2018-01-12,155.9091033935547,156.0702333176455,154.4399588985302,154.63899579067072,37762700.0,,,,,,,,,,,,,,,
2018-01-16,155.46365356445312,157.73844816243434,154.99920994629912,156.94227149942006,41231800.0,,,,,,,,,,,,,,,
2018-01-17,157.141357421875,157.37831586898506,155.44474130419715,156.2030112275085,33849900.0,,,,,,,,,,,,,,,
2018-01-18,157.16978454589844,157.52995150223362,156.52525013602505,156.8949046851545,26432200.0,,,,,,,,,,,,,,,
2018-01-19,157.66262817382812,157.91854728018592,156.90435844637778,157.63419432454305,38937600.0,,,,,,,,,,,,,,,
2018-01-22,159.3498077392578,159.3498077392578,157.4257063558001,157.6057970849663,26081400.0,,,,,,,,,,,,,,,
2018-01-23,160.66729736328125,160.8094811066508,159.76685817312315,159.84268661036114,37989700.0,,,,,,,,,,,,,,,
2018-01-24,159.6246795654297,161.35921700105814,158.70527970398518,161.0085086914755,54287400.0,,,,,,,,,,,,,,,
2018-01-25,159.5677947998047,160.78102066944473,159.05595654876683,160.7241529666168,28925000.0,,,,,,,,,,,,,,,
2018-01-26,162.01319885253906,162.0321595751213,160.14597986780723,160.45875224504908,32038200.0,,,,,,,,,,,,,,,
2018-01-29,161.22650146484375,161.9942443683194,160.88528078965535,161.67198441475065,37277800.0,,,,,,,,,,,,,,,
2018-01-30,159.89950561523438,160.58194687970052,159.06542198527998,159.7573363779669,44987700.0,,,,,,,,,,,,,,,
2018-01-31,160.56298828125,161.12222103506798,159.55828709051298,160.79994665501974,42449200.0,,,,,,,,,,,,,,,
2018-02-01,159.19813537597656,160.87579040901403,158.6862971406691,159.33083149942797,38037900.0,,,,,,,,,,,,,,,
2018-02-02,156.02285766601562,158.95165942184832,155.89016156758018,158.57253184425852,68478100.0,,,,,,,,,,,,,,,
2018-02-05,149.87142944335938,157.10340372718997,149.75769405065472,154.5632168715087,105372200.0,,,,,,,,,,,,,,,
2018-02-06,153.84292602539062,154.03248992272614,147.0090513488362,147.68200535379708,118537900.0,,,,,,,,,,,,,,,
2018-02-07,151.8524169921875,155.0181775277299,151.84292940065149,153.34998125009454,91028300.0,,,,,,,,,,,,,,,
2018-02-08,145.44508361816406,152.41166734954348,145.44508361816406,152.24104975673674,94184800.0,,,,,,,,,,,,,,,
2018-02-09,147.95681762695312,149.03734725663938,142.29825037963022,147.50184712608083,113836600.0,,,,,,,,,,,,,,,
2018-02-12,150.58236694335938,151.60602929006882,148.2980982379293,149.4734030167902,63050600.0,,,,,,,,,,,,,,,
2018-02-13,151.35955810546875,151.66285735326272,149.4923246551952,149.719809938136,31785600.0,,,,,,,,,,,,,,,
2018-02-14,154.19358825683594,154.43054669548692,149.757733227431,150.468608543384,52107400.0,,,,,,,,,,,,,,,
2018-02-15,157.0560302734375,157.0560302734375,153.9660978329632,155.57741211832965,51633900.0,,,,,,,,,,,,,,,
2018-02-16,156.35467529296875,158.06076462036012,156.08926851423152,156.54423916681262,62256300.0,,,,,,,,,,,,,,,
2018-02-20,156.66734313964844,157.9848307080881,155.73847065396825,155.80482592005313,36785600.0,,,,,,,,,,,,,,,
2018-02-21,156.22193908691406,158.9706507099989,156.12714994289342,157.43516492385564,41161800.0,,,,,,,,,,,,,,,
2018-02-22,156.2030029296875,157.73848895729785,155.80491449522538,156.90439063968478,37074400.0,,,,,,,,,,,,,,,
2018-02-23,159.39715576171875,159.39715576171875,156.81904752024204,157.46358181200682,50096900.0,,,,,,,,,,,,,,,
2018-02-26,161.51080322265625,161.51080322265625,160.01323919972177,160.14593529527758,39266700.0,,,,,,,,,,,,,,,
2018-02-27,159.5108642578125,161.8235798900375,159.43505031889686,161.55818771546632,42209900.0,,,,,,,,,,,,,,,
2018-02-28,158.48727416992188,160.94215990175962,158.38301188781168,160.4208484912087,42936300.0,,,,,,,,,,,,,,,
2018-03-01,155.89968872070312,159.30242282189553,154.49689884214845,158.57258679618744,76809900.0,,,,,,,,,,,,,,,
2018-03-02,157.33091735839844,157.60578276128518,153.5111487945248,154.02297261682202,57445100.0,,,,,,,,,,,,,,,
2018-03-05,159.07492065429688,159.48248217509507,156.0039344711269,156.59160115936658,38540200.0,,,,,,,,,,,,,,,
2018-03-06,159.74789428710938,160.28816646819095,158.743192823479,159.85215657839905,29480900.0,,,,,,,,,,,,,,,
2018-03-07,160.11752319335938,160.25023378171315,158.25030430610852,158.52516968662982,34609400.0,,,,,,,,,,,,,,,
2018-03-08,160.9989776611328,161.11271303804378,160.1364458187859,160.78098003445697,25828400.0,,,,,,,,,,,,,,,
2018-03-09,164.12686157226562,164.12686157226562,161.90893452845475,162.14589291679673,38310500.0,,,,,,,,,,,,,,,
2018-03-12,164.99887084960938,165.37799849536106,164.24060109531337,164.61025561189868,37635000.0,,,,,,,,,,,,,,,
2018-03-13,162.7525177001953,166.0699353792937,162.3354685922046,165.37800642158484,55638900.0,,,,,,,,,,,,,,,
2018-03-14,162.72406005859375,163.7287757897065,162.01318488239065,163.60555279773772,40536400.0,,,,,,,,,,,,,,,
2018-03-15,162.58193969726562,163.52977355055245,161.98479974159994,162.8378588872362,28810400.0,,,,,,,,,,,,,,,
2018-03-16,162.0985107421875,163.2169474785479,162.02268231658442,162.85678053542495,31176700.0,,,,,,,,,,,,,,,
2018-03-19,158.63995361328125,160.65261617921,157.2538651099721,160.5386962562349,71395100.0,,,,,,,,,,,,,,,
2018-03-20,159.162109375,159.53236364145548,158.1747694932047,158.70641515926818,34075700.0,,,,,,,,,,,,,,,
2018-03-21,158.4690399169922,160.21587945877786,157.77600299298302,158.7443656789478,43863500.0,,,,,,,,,,,,,,,
2018-03-22,154.5576934814453,157.3773281847875,154.35831907909588,156.27605369409443,66607300.0,,,,,,,,,,,,,,,
2018-03-23,150.48486328125,155.03236063774952,150.40891182692076,154.37729201963617,80110400.0,,,,,,,,,,,,,,,
2018-03-26,156.0766143798828,156.26650020267513,151.10191872581936,153.53230660051517,57481500.0,,,,,,,,,,,,,,,
2018-03-27,151.02598571777344,157.23486754614297,149.69685722735747,157.23486754614297,78889100.0,,,,,,,,,,,,,,,
2018-03-28,149.28863525390625,151.69054345711947,148.13988961981215,150.16205510177866,89369700.0,,,,,,,,,,,,,,,
2018-03-29,152.02284240722656,153.52285091307365,148.70004260581092,150.0956196813061,68692600.0,,,,,,,,,,,,,,,
2018-04-02,147.6366729736328,151.65252256994893,146.08920815739694,150.94049434898878,85549400.0,,,,,,,,,,,,,,,
2018-04-03,149.29818725585938,149.92477605006715,146.62096661392263,148.92793287496613,64090000.0,,,,,,,,,,,,,,,
2018-04-04,151.652587890625,152.11777059081768,146.2411594914853,146.41205387097497,65768700.0,,,,,,,,,,,,,,,
2018-04-05,152.51646423339844,153.39938690553416,151.40570176426277,153.1620441261568,43054900.0,,,,,,,,,,,,,,,
2018-04-06,148.6999969482422,152.33608992426997,147.98796863799203,150.83608187899264,59870900.0,,,,,,,,,,,,,,,
2018-04-09,149.74436950683594,152.7348985607515,149.4880496201867,149.98171239272162,41810400.0,,,,,,,,,,,,,,,
2018-04-10,153.0481414794922,153.54180408614096,151.0164876384607,152.09877025496803,48296800.0,,,,,,,,,,,,,,,
2018-04-11,152.1652374267578,153.7981572927169,151.99435753872484,152.08928598110194,41622100.0,,,,,,,,,,,,,,,
2018-04-12,153.9975128173828,154.5291583857069,153.00067013364756,153.08611006721637,30467900.0,,,,,,,,,,,,,,,
2018-04-13,153.1999969482422,154.99430759760455,152.53544013111764,154.76646782387735,44604900.0,,,,,,,,,,,,,,,
2018-04-16,154.3677978515625,154.92792350963092,153.30449201625808,154.27285491557274,28180800.0,,,,,,,,,,,,,,,
2018-04-17,157.69056701660156,158.03234123867645,155.61144170616737,155.9247359502573,35536100.0,,,,,,,,,,,,,,,
2018-04-18,158.0133514404297,158.54499701681692,156.94055730405546,157.69056869565964,29573900.0,,,,,,,,,,,,,,,
2018-04-19,156.56082153320312,157.58614425573325,156.01967294926106,157.21589003534092,34705700.0,,,,,,,,,,,,,,,
2018-04-20,154.08299255371094,156.2760383326835,153.5418438621416,156.16211839183055,49197100.0,,,,,,,,,,,,,,,
2018-04-23,153.6937255859375,155.4405653740719,152.86777715610094,154.8329682961879,33040600.0,,,,,,,,,,,,,,,
2018-04-24,150.43739318847656,154.66209287436675,149.421558872385,154.4247500326172,70256800.0,,,,,,,,,,,,,,,
2018-04-25,150.6177215576172,151.24430997004072,148.5480994809047,150.70317596749572,52089300.0,,,,,,,,,,,,,,,
2018-04-26,153.78866577148438,154.3013199117636,152.0702915090282,152.56396865295923,43005500.0,,,,,,,,,,,,,,,
2018-04-27,153.88357543945312,156.08612359271658,153.010155667514,156.0481406321403,51043400.0,,,,,,,,,,,,,,,
2018-04-30,152.7918243408203,155.20322114779478,152.41206711663665,154.2443613184627,35615300.0,,,,,,,,,,,,,,,
2018-05-01,154.53866577148438,154.55765725446156,152.03232601000693,152.39309175528817,36513500.0,,,,,,,,,,,,,,,
2018-05-02,153.62728881835938,155.28868878909026,153.4469059323073,154.8045000978435,38646800.0,,,,,,,,,,,,,,,
