Date,Close,High,Low,Open,Volume,"('Close', 'TSLA')","('High', 'TSLA')","('Low', 'TSLA')","('Open', 'TSLA')","('Volume', 'TSLA')","('Close', 'TSLA').1","('High', 'TSLA').1","('Low', 'TSLA').1","('Open', 'TSLA').1","('Volume', 'TSLA').1","('Close', 'TSLA')","('High', 'TSLA')","('Low', 'TSLA')","('Open', 'TSLA')","('Volume', 'TSLA')"
2018-01-02,21.368667602539062,21.474000930786133,20.733333587646484,20.799999237060547,65283000.0,,,,,,,,,,,,,,,
2018-01-03,21.14999961853028,21.683332443237305,21.036666870117188,21.39999961853028,67822500.0,,,,,,,,,,,,,,,
2018-01-04,20.974666595458984,21.23666763305664,20.3786678314209,20.857999801635746,149194500.0,,,,,,,,,,,,,,,
2018-01-05,21.10533332824707,21.14933204650879,20.799999237060547,21.107999801635746,68868000.0,,,,,,,,,,,,,,,
2018-01-08,22.42733383178711,22.468000411987305,21.03333282470703,21.06666755676269,147891000.0,,,,,,,,,,,,,,,
2018-01-09,22.246000289916992,22.58666610717773,21.82666778564453,22.3439998626709,107199000.0,,,,,,,,,,,,,,,
2018-01-10,22.31999969482422,22.46666717529297,22.0,22.14666748046875,64648500.0,,,,,,,,,,,,,,,
2018-01-11,22.530000686645508,22.98733329772949,22.21733283996582,22.34933280944824,99682500.0,,,,,,,,,,,,,,,
2018-01-12,22.4146671295166,22.694000244140625,22.244667053222656,22.57533264160156,72376500.0,,,,,,,,,,,,,,,
2018-01-16,22.67066764831543,23.0,22.31999969482422,22.502666473388672,97114500.0,,,,,,,,,,,,,,,
2018-01-17,23.143999099731445,23.26666641235352,22.64999961853028,22.69799995422364,106552500.0,,,,,,,,,,,,,,,
2018-01-18,22.971332550048828,23.48666763305664,22.916000366210938,23.044666290283203,85287000.0,,,,,,,,,,,,,,,
2018-01-19,23.334667205810547,23.37266731262207,22.84000015258789,23.0,73324500.0,,,,,,,,,,,,,,,
2018-01-22,23.437332153320312,23.85533332824707,23.280000686645508,23.293333053588867,93156000.0,,,,,,,,,,,,,,,
2018-01-23,23.519332885742188,24.03333282470703,23.39999961853028,24.0,81981000.0,,,,,,,,,,,,,,,
2018-01-24,23.05933380126953,23.64999961853028,22.90133285522461,23.6386661529541,79312500.0,,,,,,,,,,,,,,,
2018-01-25,22.50933265686035,23.280000686645508,22.426666259765625,23.218000411987305,101104500.0,,,,,,,,,,,,,,,
2018-01-26,22.856666564941406,22.933332443237305,22.38066673278809,22.76666641235352,68091000.0,,,,,,,,,,,,,,,
2018-01-29,23.302000045776367,23.38999938964844,22.552000045776367,22.656667709350582,71206500.0,,,,,,,,,,,,,,,
2018-01-30,23.05466651916504,23.218000411987305,22.81133270263672,23.00933265686035,70765500.0,,,,,,,,,,,,,,,
2018-01-31,23.62066650390625,23.746000289916992,23.012666702270508,23.16733360290528,93211500.0,,,,,,,,,,,,,,,
2018-02-01,23.28333282470703,23.977333068847656,23.242000579833984,23.39999961853028,62965500.0,,,,,,,,,,,,,,,
2018-02-02,22.916667938232425,23.46333312988281,22.700666427612305,23.22933387756348,55572000.0,,,,,,,,,,,,,,,
2018-02-05,22.20866775512696,22.96466636657715,22.200000762939453,22.531333923339844,66961500.0,,,,,,,,,,,,,,,
2018-02-06,22.264667510986328,22.4146671295166,21.56666755676269,21.680667877197266,76326000.0,,,,,,,,,,,,,,,
2018-02-07,23.0,23.06666755676269,22.37733268737793,22.59933280944824,104538000.0,,,,,,,,,,,,,,,
2018-02-08,21.01533317565918,23.2413330078125,20.97333335876465,22.88733291625977,154719000.0,,,,,,,,,,,,,,,
