Date,Close,High,Low,Open,Volume,"('Close', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Open', 'AAPL')","('Volume', 'AAPL')","('Close', 'AAPL').1","('High', 'AAPL').1","('Low', 'AAPL').1","('Open', 'AAPL').1","('Volume', 'AAPL').1","('Close', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Open', 'AAPL')","('Volume', 'AAPL')"
2018-01-02,40.304176330566406,40.313537247208,39.60225752847971,39.81283531119191,102223600.0,,,,,,,,,,,,,,,
2018-01-03,40.297157287597656,40.839976206320266,40.23398716613362,40.36734988159022,118071600.0,,,,,,,,,,,,,,,
2018-01-04,40.48432540893555,40.58727404295443,40.262051896472606,40.36967741738859,89738400.0,,,,,,,,,,,,,,,
2018-01-05,40.94526672363281,41.03183557368815,40.48902017988398,40.58026948863375,94640000.0,,,,,,,,,,,,,,,
2018-01-08,40.79317855834961,41.08798314166222,40.694906793768766,40.79317855834961,82271200.0,,,,,,,,,,,,,,,
2018-01-09,40.78850555419922,40.959304811209066,40.57325086464644,40.839979889760095,86336000.0,,,,,,,,,,,,,,,
2018-01-10,40.77914047241211,40.78148248660823,40.47731696303072,40.51475348873273,95839600.0,,,,,,,,,,,,,,,
2018-01-11,41.010772705078125,41.05990858862975,40.82593567106534,40.849330820735744,74670800.0,,,,,,,,,,,,,,,
2018-01-12,41.434268951416016,41.49744264769773,41.0973473314388,41.22135270960487,101672400.0,,,,,,,,,,,,,,,
2018-01-16,41.22367858886719,41.97239102346496,41.211979231891405,41.62377017838455,118263600.0,,,,,,,,,,,,,,,
2018-01-17,41.90456008911133,41.939654606330926,40.96164931160703,41.214336975876456,137547200.0,,,,,,,,,,,,,,,
2018-01-18,41.94197845458984,42.13851839305448,41.70566712387991,41.96771561497552,124773600.0,,,,,,,,,,,,,,,
2018-01-19,41.75481033325195,42.01685887036376,41.50913804463785,41.78990484442101,129700400.0,,,,,,,,,,,,,,,
2018-01-22,41.413204193115234,41.59570277343954,41.319616459154176,41.48339677865763,108434400.0,,,,,,,,,,,,,,,
2018-01-23,41.42256546020508,41.98410262756551,41.37109470075366,41.48340070616833,130756400.0,,,,,,,,,,,,,,,
2018-01-24,40.76276397705078,41.48340102680674,40.52411058982438,41.47170166632772,204420400.0,,,,,,,,,,,,,,,
2018-01-25,40.03511428833008,40.93356961943783,39.89940953985899,40.83062094334637,166116000.0,,,,,,,,,,,,,,,
2018-01-26,40.12869644165039,40.24334446403802,39.78943640292996,40.24334446403802,156572000.0,,,,,,,,,,,,,,,
2018-01-29,39.298095703125,39.81283544569889,39.089859933941504,39.81283544569889,202561600.0,,,,,,,,,,,,,,,
2018-01-30,39.06645965576172,39.16004739790291,38.53534011524448,38.7295380718238,184192800.0,,,,,,,,,,,,,,,
2018-01-31,39.17407989501953,39.41039480264759,38.95648681745555,39.04305564571524,129915600.0,,,,,,,,,,,,,,,
2018-02-01,39.25597381591797,39.452510199787405,39.0173204525661,39.11325020069639,188923200.0,,,,,,,,,,,,,,,
2018-02-02,37.55265426635742,39.026684400187065,37.45906652490365,38.839505347136026,346375200.0,,,,,,,,,,,,,,,
2018-02-05,36.61442565917969,38.3434854954354,36.49977763648005,37.22509515859577,290954000.0,,,,,,,,,,,,,,,
2018-02-06,38.14461517333984,38.30605710300419,36.03183942022029,36.22603742473362,272975200.0,,,,,,,,,,,,,,,
2018-02-07,37.32804489135742,38.23118067001735,37.21808088344142,38.15864962281688,206434400.0,,,,,,,,,,,,,,,
2018-02-08,36.300899505615234,37.66964260600261,36.27282389580829,37.50352025097628,217562000.0,,,,,,,,,,,,,,,
2018-02-09,36.744903564453125,37.09259424286847,35.29540556303041,36.89995612086624,282690400.0,,,,,,,,,,,,,,,
2018-02-12,38.224945068359375,38.50215699971971,37.0033227171409,37.23590156313725,243278000.0,,,,,,,,,,,,,,,
2018-02-13,38.60787963867188,38.70420051241455,37.975925806374015,38.0464045819101,130196800.0,,,,,,,,,,,,,,,
2018-02-14,39.3197021484375,39.359639279128274,38.26488298242506,38.30246855062296,162579600.0,,,,,,,,,,,,,,,
2018-02-15,40.6400032043457,40.66349374207075,39.702643640911546,39.888234303148494,204588800.0,,,,,,,,,,,,,,,
2018-02-16,40.50843811035156,41.06991676593039,40.35338910191299,40.49199509364272,160704400.0,,,,,,,,,,,,,,,
2018-02-20,40.37216567993164,40.93833645473484,40.27114530773741,40.41915031562057,135722000.0,,,,,,,,,,,,,,,
2018-02-21,40.18894577026367,40.90546993442809,40.17484714537294,40.60241581622641,149886400.0,,,,,,,,,,,,,,,
2018-02-22,40.524879455566406,40.865522652890775,40.33928883126937,40.36043138630971,123967600.0,,,,,,,,,,,,,,,
2018-02-23,41.22967147827149,41.26490907984297,40.76921317110367,40.799754815599,135249600.0,,,,,,,,,,,,,,,
