Date,Close,High,Low,Open,Volume,"('Close', 'MSFT')","('High', 'MSFT')","('Low', 'MSFT')","('Open', 'MSFT')","('Volume', 'MSFT')","('Close', 'MSFT').1","('High', 'MSFT').1","('Low', 'MSFT').1","('Open', 'MSFT').1","('Volume', 'MSFT').1","('Close', 'MSFT')","('High', 'MSFT')","('Low', 'MSFT')","('Open', 'MSFT')","('Volume', 'MSFT')"
2018-01-02,78.870361328125,79.2007089630862,78.45743028490708,79.03553514560559,22483800.0,,,,,,,,,,,,,,,
2018-01-03,79.23739624023438,79.38422048804543,78.8886991531313,78.97128254180092,26061400.0,,,,,,,,,,,,,,,
2018-01-04,79.93480682373047,80.4395064837773,79.43928543049348,79.45763496314687,21912000.0,,,,,,,,,,,,,,,
2018-01-05,80.92585754394531,81.12773742775576,80.22845621831836,80.43951436983846,23407100.0,,,,,,,,,,,,,,,
2018-01-08,81.00843811035156,81.2837301242538,80.38444894634434,80.93502597318206,22113000.0,,,,,,,,,,,,,,,
2018-01-09,80.95338439941406,81.42137803359573,80.62303677539958,81.34796589471098,19484300.0,,,,,,,,,,,,,,,
2018-01-10,80.58634948730469,80.92587545805095,80.2101244395299,80.62305556530173,18652200.0,,,,,,,,,,,,,,,
2018-01-11,80.82489776611328,80.87077509146843,80.05408448991493,80.87077509146843,17808900.0,,,,,,,,,,,,,,,
2018-01-12,82.2197265625,82.38490040317807,81.16444963599947,81.36632955249135,24271500.0,,,,,,,,,,,,,,,
2018-01-16,81.07267761230469,83.31169894475336,80.76068650911022,82.67853146937172,36599700.0,,,,,,,,,,,,,,,
2018-01-17,82.71524047851562,82.84370823156674,81.43973421538863,81.74255406228086,25621200.0,,,,,,,,,,,,,,,
2018-01-18,82.67852020263672,83.2015693933374,82.27476747710904,82.40323520809052,24159700.0,,,,,,,,,,,,,,,
2018-01-19,82.58676147460938,83.14651675134795,82.2747704028359,82.71522921015922,36875000.0,,,,,,,,,,,,,,,
2018-01-22,84.06415557861328,84.07333384660362,82.34818351471458,82.58676947569296,23601600.0,,,,,,,,,,,,,,,
2018-01-23,84.33026885986328,84.69732256673645,83.99992122377415,84.33026885986328,23412800.0,,,,,,,,,,,,,,,
2018-01-24,84.25685119628906,85.7342371939278,84.03662178698536,84.92672469250311,33277500.0,,,,,,,,,,,,,,,
2018-01-25,84.7248306274414,85.55987079005816,84.35777700609717,84.85329834476705,26383200.0,,,,,,,,,,,,,,,
2018-01-26,86.31234741210938,86.31234741210938,84.95425780207921,85.44977925470117,29172200.0,,,,,,,,,,,,,,,
2018-01-29,86.18387603759766,87.58784992711374,86.0003526929294,87.30338664258788,31569900.0,,,,,,,,,,,,,,,
2018-01-30,85.10106658935547,85.94529212861116,84.51378351915717,85.6149445265038,38635100.0,,,,,,,,,,,,,,,
2018-01-31,87.18408966064453,87.54196505260539,85.80764369126697,86.02787308609685,48756300.0,,,,,,,,,,,,,,,
2018-02-01,86.49588775634766,88.15679739054353,85.87189848478197,86.98223099723586,47227900.0,,,,,,,,,,,,,,,
2018-02-02,84.22016143798828,86.2297753148456,83.96322591054805,85.92695544280473,47867800.0,,,,,,,,,,,,,,,
2018-02-05,80.75149536132812,85.55987789757307,80.75149536132812,83.10062753153034,51031500.0,,,,,,,,,,,,,,,
2018-02-06,83.80722045898438,83.94486647558878,78.22802366022806,79.7329375729105,67998600.0,,,,,,,,,,,,,,,
2018-02-07,82.22888946533203,84.2109681821036,81.85265750927424,83.03640197942907,41107600.0,,,,,,,,,,,,,,,
2018-02-08,78.0078125,82.4766709452531,77.77840475226523,82.32067535702599,55628700.0,,,,,,,,,,,,,,,
2018-02-09,80.91666412353516,81.60488705257374,76.9249725353045,79.19152116842608,63499100.0,,,,,,,,,,,,,,,
2018-02-12,81.78844451904297,82.38490604013431,80.68729017315789,81.43056900658189,35720300.0,,,,,,,,,,,,,,,
2018-02-13,82.43074035644531,82.58673584391904,80.5679517681201,81.60487159781326,26407700.0,,,,,,,,,,,,,,,
2018-02-14,83.72149658203125,83.88744631597784,81.50884284121638,81.60103557477454,34960900.0,,,,,,,,,,,,,,,
2018-02-15,85.42707824707031,85.48239247036035,83.54631728282148,84.09025923544928,27823900.0,,,,,,,,,,,,,,,
2018-02-16,84.81859588623047,86.20150777567987,84.63421044784532,85.23346663952384,30596900.0,,,,,,,,,,,,,,,
2018-02-20,85.4823989868164,85.79585565449312,83.90588019818914,84.33919373726903,30911700.0,,,,,,,,,,,,,,,
2018-02-21,84.34840393066406,86.07243661951622,84.34840393066406,85.72210147280906,26922500.0,,,,,,,,,,,,,,,
2018-02-22,84.56966400146484,85.49160514292969,84.22854324693589,84.86468488537949,24392800.0,,,,,,,,,,,,,,,
2018-02-23,86.7177734375,86.72699481753442,85.15047645654619,86.2936813959931,26329200.0,,,,,,,,,,,,,,,
2018-02-26,87.97163391113281,87.99929102369545,86.89296431806788,87.03125691473474,30199800.0,,,,,,,,,,,,,,,
2018-02-27,86.84687042236328,88.35885363998281,86.84687042236328,88.26666091380682,25869100.0,,,,,,,,,,,,,,,
2018-02-28,86.450439453125,88.2390079676159,86.32136822361066,87.43691644090148,31167300.0,,,,,,,,,,,,,,,
2018-03-01,85.60225677490234,87.18799709334523,84.67109400021585,86.65326939826944,37135600.0,,,,,,,,,,,,,,,
2018-03-02,85.78662872314453,85.87882143341812,83.7675753090442,84.43137407717872,32830400.0,,,,,,,,,,,,,,,
2018-03-05,86.33059692382812,86.91141750587053,85.05832025341641,85.1320702237793,23901600.0,,,,,,,,,,,,,,,
2018-03-06,86.03557586669922,87.11424567550095,85.68524064774837,86.97595305117521,22175800.0,,,,,,,,,,,,,,,
2018-03-07,86.53340911865234,86.60716610919015,85.21503280666747,85.8880530360809,26716100.0,,,,,,,,,,,,,,,
2018-03-08,87.0589370727539,87.67663619634348,86.45045229988858,86.9114230548997,25887800.0,,,,,,,,,,,,,,,
2018-03-09,89.00419616699219,89.00419616699219,87.5844060045405,87.8517697721956,36937300.0,,,,,,,,,,,,,,,
2018-03-12,89.21626281738281,89.62191926891275,88.54324955973114,88.96734174366952,26073700.0,,,,,,,,,,,,,,,
2018-03-13,87.04048919677734,89.64957796048643,86.63483273811599,89.4283139984232,35387800.0,,,,,,,,,,,,,,,
2018-03-14,86.52418518066406,87.96241831825452,86.20150714890944,87.69505451084254,32132000.0,,,,,,,,,,,,,,,
