Date,Close,High,Low,Open,Volume,"('Close', 'SPY')","('High', 'SPY')","('Low', 'SPY')","('Open', 'SPY')","('Volume', 'SPY')","('Close', 'SPY').1","('High', 'SPY').1","('Low', 'SPY').1","('Open', 'SPY').1","('Volume', 'SPY').1","('Close', 'SPY')","('High', 'SPY')","('Low', 'SPY')","('Open', 'SPY')","('Volume', 'SPY')"
2018-01-02,236.56216430664065,236.5973784613616,235.35634139761444,235.74361651795525,86655700.0,,,,,,,,,,,,,,,
2018-01-03,238.05845642089844,238.2080964327097,236.7293974037698,236.7293974037698,90070400.0,,,,,,,,,,,,,,,
2018-01-04,239.06190490722656,239.5460123853924,238.1201475809229,238.701060438399,80636400.0,,,,,,,,,,,,,,,
2018-01-05,240.6549835205078,240.7781927848289,239.36113851220543,239.8540292905556,83524000.0,,,,,,,,,,,,,,,
2018-01-08,241.09503173828125,241.2534551383721,240.2676737237684,240.5581166239349,57319200.0,,,,,,,,,,,,,,,
2018-01-09,241.6407470703125,242.26565732120056,241.2358514278501,241.517510954642,57254000.0,,,,,,,,,,,,,,,
2018-01-10,241.2709808349609,241.5350466212716,240.21479827128263,240.88370583678915,69574300.0,,,,,,,,,,,,,,,
2018-01-11,243.03135681152344,243.03135681152344,241.6583004230254,241.8255340603897,62361500.0,,,,,,,,,,,,,,,
2018-01-12,244.6156616210937,244.78286839135657,242.9961331060373,243.2954130794138,90816100.0,,,,,,,,,,,,,,,
2018-01-16,243.77957153320312,246.52568508160715,243.0842328909681,245.87437085450807,106555100.0,,,,,,,,,,,,,,,
2018-01-17,246.1031646728516,246.4904398023778,243.77954075622463,244.71251442448408,113258800.0,,,,,,,,,,,,,,,
2018-01-18,245.68951416015625,246.4112297604792,245.19659656063544,245.98876733307665,100728000.0,,,,,,,,,,,,,,,
2018-01-19,246.80728149414065,246.80728149414065,245.68948066001104,246.27036641848483,140920100.0,,,,,,,,,,,,,,,
2018-01-22,248.81399536132807,248.81399536132807,246.5431532562644,246.59598789964468,91322400.0,,,,,,,,,,,,,,,
2018-01-23,249.3421630859375,249.6326059650939,248.53239877650185,248.8580558066408,97084700.0,,,,,,,,,,,,,,,
2018-01-24,249.2453765869141,250.5832459642879,248.06595748775115,249.9847127299476,134816100.0,,,,,,,,,,,,,,,
2018-01-25,249.35096740722656,250.20472933165445,248.5588235370582,250.1079239839861,84587300.0,,,,,,,,,,,,,,,
2018-01-26,252.23782348632807,252.281847878742,249.9317941162781,250.18704963861404,107743100.0,,,,,,,,,,,,,,,
2018-01-29,250.56561279296875,252.10590306158304,250.40718938329576,251.66582012769325,90118300.0,,,,,,,,,,,,,,,
2018-01-30,247.9955596923828,250.618436958872,247.52026257180148,248.73489584632463,131796400.0,,,,,,,,,,,,,,,
2018-01-31,248.1187438964844,249.350970695276,247.0449405017096,248.849296582556,108364800.0,,,,,,,,,,,,,,,
2018-02-01,247.83709716796875,249.139752342768,247.04495324648897,247.38823083343112,90102500.0,,,,,,,,,,,,,,,
2018-02-02,242.4417266845703,246.6489189381392,242.4065125248929,246.5168725544824,173174800.0,,,,,,,,,,,,,,,
2018-02-05,232.3021545410156,242.7937427585855,231.75645603942664,240.6813501980193,294681800.0,,,,,,,,,,,,,,,
2018-02-06,236.8791046142578,237.38080573317723,227.6989787221332,228.79037608073344,355026800.0,,,,,,,,,,,,,,,
2018-02-07,235.593978881836,239.7219315509797,235.5147403268163,236.3245046380628,167376100.0,,,,,,,,,,,,,,,
2018-02-08,226.7570953369141,236.0340494073837,226.72188118769543,235.89321967103496,246449500.0,,,,,,,,,,,,,,,
2018-02-09,230.16336059570312,232.02049757208297,222.6115362922506,229.54723378106328,283565300.0,,,,,,,,,,,,,,,
2018-02-12,233.5432281494141,235.0131170932177,230.30422392491064,232.2141689797888,143736000.0,,,,,,,,,,,,,,,
2018-02-13,234.12413024902344,234.66982881131727,231.7564818205949,232.3373945399653,81223600.0,,,,,,,,,,,,,,,
2018-02-14,237.28396606445312,237.64483737410043,232.6278800630992,232.6366903191144,120735700.0,,,,,,,,,,,,,,,
2018-02-15,240.3116912841797,240.3205015384281,236.5621760065856,239.0266566088732,111200300.0,,,,,,,,,,,,,,,
