Date,Close,High,Low,Open,Volume,"('Close', 'TLT')","('High', 'TLT')","('Low', 'TLT')","('Open', 'TLT')","('Volume', 'TLT')","('Close', 'TLT').1","('High', 'TLT').1","('Low', 'TLT').1","('Open', 'TLT').1","('Volume', 'TLT').1","('Close', 'TLT')","('High', 'TLT')","('Low', 'TLT')","('Open', 'TLT')","('Volume', 'TLT')"
2018-01-02,99.4598388671875,100.26826553313532,99.12696014442936,100.25241071004592,16238200.0,,,,,,,,,,,,,,,
2018-01-03,99.93536376953124,100.0225471411676,99.45982195405072,99.86403521828818,8605100.0,,,,,,,,,,,,,,,
2018-01-04,99.91950225830078,99.9908368472924,99.3647045521058,99.5866236345838,9217900.0,,,,,,,,,,,,,,,
2018-01-05,99.6341781616211,100.00668779252362,99.3567793024942,99.7609925239886,10915400.0,,,,,,,,,,,,,,,
2018-01-08,99.57073974609376,99.88776950572183,99.20615763891534,99.85606592507506,8850600.0,,,,,,,,,,,,,,,
2018-01-09,98.2392807006836,98.93674781507724,98.12832112281978,98.92089299147185,16226400.0,,,,,,,,,,,,,,,
2018-01-10,98.1204071044922,98.22343927826768,97.21687559032564,97.33575654204972,14302600.0,,,,,,,,,,,,,,,
2018-01-11,98.52458190917967,98.74650100826344,97.73201024282808,97.89052820420356,12511000.0,,,,,,,,,,,,,,,
2018-01-12,98.6910629272461,98.90506075379962,98.20759956961872,98.35818413799008,9987100.0,,,,,,,,,,,,,,,
2018-01-16,99.10318756103516,99.29340311712322,98.72275040201552,99.20621972749046,9125900.0,,,,,,,,,,,,,,,
2018-01-17,98.96844482421876,99.57872246182563,98.75444704770244,99.13488417992971,8327000.0,,,,,,,,,,,,,,,
2018-01-18,98.04903411865234,98.49287228965927,97.91429839485976,98.22340084207408,10843900.0,,,,,,,,,,,,,,,
2018-01-19,97.53386688232422,97.93015271369636,97.47046574490452,97.80334439201508,11374300.0,,,,,,,,,,,,,,,
2018-01-22,97.62901306152344,98.04907522760864,97.47842245600457,97.84300482745292,8984700.0,,,,,,,,,,,,,,,
2018-01-23,98.04903411865234,98.4373925182834,97.67652449076802,98.12829007106907,12325700.0,,,,,,,,,,,,,,,
2018-01-24,97.51801300048828,97.58934154391407,97.12172718987846,97.36742245746724,9038900.0,,,,,,,,,,,,,,,
2018-01-25,98.31851196289062,98.39776791558934,97.32779743705272,97.61312370424136,12173300.0,,,,,,,,,,,,,,,
2018-01-26,97.95392608642578,98.20755481619724,97.56556767593628,98.18377258764988,6462900.0,,,,,,,,,,,,,,,
2018-01-29,97.27232360839844,97.46253911586504,96.93151754881475,97.46253911586504,12223000.0,,,,,,,,,,,,,,,
2018-01-30,96.70171356201172,96.98703997209977,96.45601212469752,96.91570534615543,12064400.0,,,,,,,,,,,,,,,
2018-01-31,97.27232360839844,97.43083552348028,96.64619126419392,97.3832831583241,18045100.0,,,,,,,,,,,,,,,
2018-02-01,95.86257934570312,97.31600685330686,95.80698405598544,97.27629939461258,18632800.0,,,,,,,,,,,,,,,
2018-02-02,94.97300720214844,95.51307805757595,94.70296874472012,95.42571320894584,23944400.0,,,,,,,,,,,,,,,
2018-02-05,95.87052154541016,96.75210830903576,94.2264825109739,94.64741913407887,28606200.0,,,,,,,,,,,,,,,
2018-02-06,95.2748794555664,95.9976244528429,95.08426785407636,95.64022088318632,10935400.0,,,,,,,,,,,,,,,
2018-02-07,94.36946868896484,95.56874574401672,94.16296924849117,95.409897690024,16271100.0,,,,,,,,,,,,,,,
2018-02-08,94.26622009277344,94.65538721317932,93.5990703983584,93.72614883898358,15155100.0,,,,,,,,,,,,,,,
2018-02-09,93.67056274414062,94.5839133733263,93.55142820920166,93.80557905600216,15661600.0,,,,,,,,,,,,,,,
2018-02-12,94.08355712890624,94.75070689976032,93.86911981007395,94.16297813367991,10944600.0,,,,,,,,,,,,,,,
2018-02-13,94.5044937133789,94.52038154996151,94.02796162628256,94.20269147208586,8157600.0,,,,,,,,,,,,,,,
2018-02-14,93.45611572265624,94.14709115079268,93.29727372189184,94.08355192671334,12043300.0,,,,,,,,,,,,,,,
2018-02-15,93.7738265991211,94.35361154353376,93.7102873609376,93.86913545639634,8222400.0,,,,,,,,,,,,,,,
2018-02-16,94.28203582763672,94.6791465872811,93.98817168410532,94.54413038326504,8454100.0,,,,,,,,,,,,,,,
2018-02-20,93.86911010742188,94.12326093208816,93.54347614424404,93.94058718649976,8268800.0,,,,,,,,,,,,,,,
2018-02-21,92.71747589111328,93.94852243225004,92.53480822181928,93.90880890791672,12054300.0,,,,,,,,,,,,,,,
2018-02-22,92.99542999267578,93.44814224711747,92.92395293740496,93.11456447755876,9317900.0,,,,,,,,,,,,,,,
2018-02-23,93.82144927978516,93.964409492221,93.49582138777946,93.622893765815,9072900.0,,,,,,,,,,,,,,,
2018-02-26,93.85321044921876,94.44093908050984,93.74996377263494,94.25826535793388,8771600.0,,,,,,,,,,,,,,,
2018-02-27,93.71819305419922,94.24238246625043,93.13047048931406,94.13118581506728,12525700.0,,,,,,,,,,,,,,,
2018-02-28,94.31385040283205,94.37738960894607,93.91673945376748,94.09146924086502,9311600.0,,,,,,,,,,,,,,,
2018-03-01,94.95765686035156,95.19640633167856,94.02654485114856,94.24937445283976,12287700.0,,,,,,,,,,,,,,,
2018-03-02,94.18567657470705,94.64725549804264,94.0026406348097,94.5835881834482,10064300.0,,,,,,,,,,,,,,,
2018-03-05,93.9310531616211,94.54384069868146,93.61272252550614,94.50404709229764,5658200.0,,,,,,,,,,,,,,,
2018-03-06,94.01860809326172,94.44835360459795,94.0026942913542,94.19369027250826,5452000.0,,,,,,,,,,,,,,,
2018-03-07,93.91511535644533,94.4483155444469,93.87532176023312,94.36077449010033,4461800.0,,,,,,,,,,,,,,,
2018-03-08,94.4563446044922,94.6950881415353,94.11414007024112,94.15392762392092,7086700.0,,,,,,,,,,,,,,,
2018-03-09,93.83556365966795,94.12205456995945,93.58089427869382,93.89922493325928,6570400.0,,,,,,,,,,,,,,,
2018-03-12,94.37673950195312,94.43245299554492,94.05841484610848,94.15390981420042,5801300.0,,,,,,,,,,,,,,,
2018-03-13,94.85419464111328,94.99744309847443,94.05837122725153,94.1538661510584,7455300.0,,,,,,,,,,,,,,,
2018-03-14,95.68984985351562,95.8171845730372,94.99748704899126,95.02136079098815,10175000.0,,,,,,,,,,,,,,,
2018-03-15,95.68984985351562,95.88880579902788,95.44314642400958,95.63414243163834,6757900.0,,,,,,,,,,,,,,,
2018-03-16,95.34761810302734,95.50678645688728,95.14070835048724,95.33966423907324,6084300.0,,,,,,,,,,,,,,,
2018-03-19,95.04520416259766,95.47494959618336,94.86216207968737,94.87012201502738,8491200.0,,,,,,,,,,,,,,,
2018-03-20,94.6631851196289,94.8780608244024,94.56769020341872,94.63135752865908,5446000.0,,,,,,,,,,,,,,,
2018-03-21,94.76668548583984,95.0372626232582,93.99473554303022,94.43244099668088,9742400.0,,,,,,,,,,,,,,,
2018-03-22,95.7057113647461,96.15137046798662,95.23617246241776,95.74549888659264,12136600.0,,,,,,,,,,,,,,,
